timestamp_s,CH0,CH1
0.0,0,1
0.00043849,0,0
0.00093818,0,1
0.00143808,0,0
0.00193772,0,1
0.00243765,0,0
0.00293728,0,1
0.00343723,0,0
0.00393692,0,1
0.00443684,0,0
0.0049365,0,1
0.00543644,0,0
0.0059361,0,1
0.00643602,0,0
0.0069357,0,1
0.0074356,0,0
0.00793526,0,1
0.00843515,0,0
0.00893477,0,1
0.00943469,0,0
0.00993433,0,1
0.01043424,0,0
0.01093386,0,1
0.01143376,0,0
0.01193342,0,1
0.01243333,0,0
0.012933,0,1
0.01343293,0,0
0.01393259,0,1
0.01443247,0,0
0.01493214,0,1
0.01543206,0,0
0.01593172,0,1
0.01643162,0,0
0.01693129,0,1
0.01743119,0,0
0.01793082,0,1
0.01843072,0,0
0.01893036,0,1
0.01943024,0,0
0.01992987,0,1
0.02042979,0,0
0.02092947,0,1
0.02142939,0,0
0.02192906,0,1
0.02242898,0,0
0.02292863,0,1
0.02342852,0,0
0.02392816,0,1
0.02442807,0,0
0.02492772,0,1
0.02542763,0,0
0.0259273,0,1
0.02642721,0,0
0.02692691,0,1
0.02742685,0,0
0.02792655,0,1
0.02842649,0,0
0.02892617,0,1
0.02942606,0,0
0.02992569,0,1
0.03042559,0,0
0.03092524,0,1
0.03142515,0,0
0.03192485,0,1
0.03242475,0,0
0.03292443,0,1
0.03342434,0,0
0.03392401,0,1
0.03442392,0,0
0.03492357,0,1
0.03542345,0,0
0.03592306,0,1
0.03642297,0,0
0.03692263,0,1
0.03742251,0,0
0.03792217,0,1
0.03842209,0,0
0.03892175,0,1
0.03942168,0,0
0.03992136,0,1
0.04042127,0,0
0.04092089,0,1
0.04142076,0,0
0.04192044,0,1
0.04242039,0,0
0.04292005,0,1
0.04341994,0,0
0.04391959,0,1
0.04441952,0,0
0.04491917,0,1
0.04541906,0,0
0.04591868,0,1
0.04641861,0,0
0.04691827,0,1
0.04741841,0,0
0.04791793,0,1
0.04841783,0,0
0.04891749,0,1
0.04941778,0,0
0.04991706,0,1
0.05000041,1,1
0.05041696,1,0
0.05091663,1,1
0.05141694,1,0
0.05191662,1,1
